Customer Name,Mobile No,City,Category,Remarks,Dress,Master,Unit,Lambai,Kandha,Bazu,Seena,Seena Losing,Kamar,Kamar Losing,Hip,Hip Losing,Gala,Ghera,Patti,Button,Cuff,Kohni,Elbow,Arm Hole,Takai,Shalwar Length,Paincha,Joined On
Adnan Shaikh,0300 3421876,Larkana,Regular,Loose fitting pasand hai,Kurta,Master Shahid Ali,in,43.8,18.2,24.3,40.5,1.4,36.1,1.9,40.3,1.3,16.1,28.5,2.1,6,10.0,13.9,14.1,21.2,2.2,38.1,8.3,01/01/2024
Fatima Memon,0321 7654321,Sukkur,Premium,,Shalwar Kameez,Master Ghulam Rasool,in,41.8,18.1,25.0,37.9,2.0,35.9,2.3,37.0,2.0,16.5,26.3,1.8,6,10.0,13.6,14.3,20.1,2.3,39.4,7.2,02/02/2025
Bilal Qureshi,0333 9087456,Larkana,Regular,,Pant Coat,Master Ghulam Rasool,in,44.7,19.1,22.5,40.0,1.4,35.6,2.8,40.5,1.9,17.4,26.0,1.6,6,8.4,13.2,13.3,20.1,2.0,40.1,9.3,03/03/2024
Sana Jatoi,0345 2210987,Shikarpur,VIP,Bridal work,Shalwar Kameez,Master Abdul Sattar,in,41.9,18.7,23.1,43.1,2.0,42.1,3.0,44.0,2.5,15.8,25.9,1.9,5,8.0,13.7,14.9,21.1,3.5,38.1,7.5,04/04/2025
Imran Abro,0301 5567123,Larkana,Regular,,Pant Coat,Master Ghulam Rasool,in,39.1,18.5,25.0,36.4,1.8,34.8,1.1,37.2,1.4,16.4,24.1,1.9,6,8.9,13.9,13.7,21.0,3.3,38.9,7.4,05/05/2024
Hina Bhutto,0312 8890234,Karachi,Premium,Urgent orders,Shalwar Kameez,Master Abdul Sattar,in,42.3,18.7,23.7,43.3,2.0,41.7,1.2,44.8,1.1,14.8,26.6,1.8,6,9.4,12.1,14.6,21.1,2.4,38.9,8.8,06/06/2025
Kashif Soomro,0336 4451209,Larkana,Regular,,Shalwar Kameez,Master Abdul Sattar,in,42.7,17.7,25.3,38.3,1.4,35.1,1.0,40.7,1.5,15.8,24.3,1.7,5,9.1,13.9,12.7,19.5,2.7,39.7,8.8,07/07/2024
Ayesha Lashari,0308 7712340,Hyderabad,Regular,,Waistcoat,Master Abdul Sattar,in,41.1,17.8,22.6,41.9,2.2,37.2,1.1,42.8,1.1,15.4,24.7,1.6,5,9.1,13.3,14.8,21.6,3.1,42.0,9.3,08/08/2025
Naveed Chandio,0347 1123456,Sukkur,Premium,,Shalwar Kameez,Master Ghulam Rasool,in,41.5,19.0,25.1,42.9,2.1,38.3,2.2,45.4,1.8,16.2,27.0,1.6,6,8.2,12.1,13.5,20.2,3.4,41.5,8.1,09/09/2024
Zubair Mirani,0302 6678901,Larkana,Regular,Purana customer,Kurta,Master Ghulam Rasool,in,39.5,17.1,25.4,41.2,1.2,38.1,2.6,41.4,2.3,16.0,28.5,1.9,5,9.4,12.0,12.9,22.2,3.0,40.2,9.2,10/10/2025
Rabia Khoso,0331 2234567,Shikarpur,Regular,,Shalwar Kameez,Master Shahid Ali,in,43.8,19.3,25.1,42.7,1.8,40.9,2.2,43.4,1.6,14.9,26.5,2.3,5,9.4,13.9,13.2,19.6,2.7,39.4,7.5,11/11/2024
